Date Published,Document Type,Measure,Drawing Number,Description,View 
Select this document,10 Dec 2021,Decision,,,,
Select this document,10 Dec 2021,Delegated Report,,,,
Select this document,03 Dec 2021,Revised Drawing,,,EXISTING-PROPOSED ELEVATIONS,
Select this document,03 Dec 2021,Revised Drawing,,,EXISTING-PROPOSED FLOOR PLANS,
Select this document,03 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,03 Dec 2021,Revised Drawing,,REV A,BLOCK PLAN,
Select this document,03 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,30 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,04 Nov 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,26 Oct 2021,Correspondence,,,AGENT TO OFFICER - PROPOSAL CLARIFICATION,
Select this document,20 Oct 2021,Correspondence,,,HIGHWORTH PARISH,
Select this document,04 Oct 2021,Drawing,,21/1637/01 REV B,EXISTING PROPOSED,
Select this document,04 Oct 2021,Drawing,,21/1637/02 REV B,EXISTING PROPOSED ELEVATIONS,
Select this document,04 Oct 2021,Drawing,,,THE LOCATION PLAN,
Select this document,04 Oct 2021,Drawing,,,BLOCK PLAN,
Select this document,04 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,04 Oct 2021,Application Form,,,,
Select this document,09 Dec 2021,Decision,,,,
Select this document,09 Dec 2021,Delegated Report,,,,
Select this document,01 Oct 2021,Application Form,,,,
Select this document,01 Oct 2021,Drawing,,,LOCATION PLAN,
Select this document,01 Oct 2021,Drawing,,3241/1,FULL PLANS,
Select this document,01 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,15 Dec 2021,Delegated Report,,APPENDIX 1,SITE PLAN COMPARISON,
Select this document,14 Dec 2021,Correspondence,,,OFFICER TO AGENT,
Select this document,13 Dec 2021,Correspondence,,,OFFICER TO AGENT REGARDING DECISION,
Select this document,29 Oct 2021,Supporting Documents,,REVISED,PLANNING STATEMENT WIRH APPENDICES,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Drawing,,,BLOCK PLAN OF THE SITE,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Supporting Documents,,,SUPPORTING INFORMATION,
Select this document,01 Oct 2021,Application Form,,,,
Select this document,01 Oct 2021,Correspondence,,,APPLICATION FOR CERTIFICATE FOR LAWFULLNESS FOR PROPOSED USE OF LAND FOR SITTIN,
Select this document,01 Oct 2021,Correspondence,,,LOCATION PLAN,
Select this document,09 Dec 2021,Decision,,,,
Select this document,09 Dec 2021,Delegated Report,,,,
Select this document,08 Dec 2021,Revised Drawing,,,PLANS,
Select this document,18 Nov 2021,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,05 Nov 2021,CIL,,,CIL,
Select this document,05 Nov 2021,Drawing,,,SITE LOCATION PLAN SCALE 1:500,
Select this document,05 Nov 2021,Drawing,,,SITE LOCATION PLAN SCALE 1:1250,
Select this document,05 Nov 2021,Drawing,,21/110,LOFT CONVERSION WITH REAR DORMER AT NO 31 WINTON ROAD SWINDON SN3 4XL,
Select this document,09 Dec 2021,Decision,,,,
Select this document,09 Dec 2021,Delegated Report,,,,
Select this document,29 Nov 2021,Drawing,,,BLOCK AND SITE PLAN,
Select this document,02 Nov 2021,Public Comment,,,"18 BESSEMER CLOSE, RODBOURNE CHENEY, SWINDON",
Select this document,28 Oct 2021,Public Comment,,,"17 BESSEMER CLOSE, RODBOURNE CHENEY, SWINDON",
Select this document,22 Oct 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,18 Oct 2021,Public Comment,,,"15 BESSEMER CLOSE, RODBOURNE CHENEY, SWINDON",
Select this document,11 Oct 2021,Drawing,,A1/21/13,EXISTING AND PROPOSED PLAN SECTIONS AND ELEVATIONS,
Select this document,11 Oct 2021,Application Form,,,NOTICE UNDER ARTICLE 6,
Select this document,11 Oct 2021,CIL,,,CIL,
Select this document,03 Dec 2021,Decision,,,,
Select this document,03 Dec 2021,Delegated Report,,,,
Select this document,02 Dec 2021,Revised Drawing,,2.0,FLOOR PLANS,
Select this document,02 Dec 2021,Revised Drawing,,1.0,ELEVATIONS AND BLOCK PLAN,
Select this document,19 Nov 2021,Revised Drawing,,,FLOOR PLANS,
Select this document,19 Nov 2021,Revised Drawing,,,ELEVATIONS,
Select this document,19 Nov 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,11 Oct 2021,Drawing,,2.0,EXISTING FLOOR PLANS,
Select this document,11 Oct 2021,Drawing,,2.0,EXISTING ELEVATIONS,
Select this document,11 Oct 2021,CIL,,,CIL,
Select this document,11 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,15 Dec 2021,Decision,,,,
Select this document,06 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,29 Sep 2021,Drawing,,1.0,FULL PLANS,
Select this document,29 Sep 2021,Application Form,,,,
Select this document,11 Jan 2022,Correspondence,,,EOT CONFIRMATION,
Select this document,22 Dec 2021,Decision,,,,
Select this document,22 Dec 2021,Delegated Report,,,,
Select this document,21 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,20 Dec 2021,Consultee Comment,,,CONSERVATION,
Select this document,17 Dec 2021,Supporting Documents,,211216,FLOOD RISK STATEMENT,
Select this document,17 Dec 2021,Consultee Comment,,,ECOLOGY,
Select this document,17 Dec 2021,Revised Drawing,,DLL-ENQ-WILT-00036,GCN LICENSE MAP,
Select this document,16 Dec 2021,Supporting Documents,,P1,CONTAMINATION REPORT,
Select this document,16 Dec 2021,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,14 Dec 2021,Supporting Documents,,REV A,TREE REPORT,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-155838-03 REV D,PRELIMINARY ECOLOGICAL APPRAISAL,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156690-01 REV A,REPTILE MITIGATION STRATEGY,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-03 REV B,LANDSCAPE AND ECOLOGY MANAGEMENT PLAN (WITH MARKUP),
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-02 REV B,CONSTRUCTION ECOLOGICAL MANAGEMENT PLAN,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-02 REV B,CONSTRUCTION ECOLOGICAL MANAGEMENT PLAN (WITH MARKUP),
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-01 REV D,BIODIVERSITY NET GAIN ASSESSMENT,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-155838-03 REV D,PRELIMINARY ECOLOGICAL APPRAISAL (WITH MARKUP),
Select this document,13 Dec 2021,Supporting Documents,,DLL-ENQ-WILT-00036,GREAT CRESTED NEWT DISTRICT LEVEL LICENSING IMPACT ASSESSMENT & CONSERVATION PAY,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-03 REV B,LANDSCAPE AND ECOLOGY MANAGEMENT PLAN,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156261-01 REV D,BIODIVERSITY NET GAIN ASSESSMENT (WITH MARK UP),
Select this document,13 Dec 2021,Supporting Documents,,16112021 REV C,BIODIVERSITY METRIC 3.0 AUDITING AND ACCOUNTING FOR BIODIVERSITY CALCULATION TOO,
Select this document,13 Dec 2021,Supporting Documents,,RT-MME-156690-01 REV A,REPTILE MITIGATION STRATEGY (WITH MARKUO),
Select this document,08 Dec 2021,Consultee Comment,,,ARCHAEOLOGIST,
Select this document,01 Dec 2021,Consultee Comment,,,ECOLOGY,
Select this document,01 Dec 2021,Revised Drawing,,32864-RG-L-03-04,LANDSCAPE DETAILS PLAY & FENCING,
Select this document,01 Dec 2021,Supporting Documents,,RT-MME-156261-02 REV A,CONSTRUCTION ECOLOGICAL MANAGEMENT PLAN,
Select this document,01 Dec 2021,Revised Drawing,,32864-RG-L-03-05,LANDSCAPE DETAILS FURNITURE & STRUCTURES,
Select this document,01 Dec 2021,Revised Drawing,,32864-RG-L-01 REV A,LANDSCAPE MASTERPLAN GENERAL ARRANGEMENT,
Select this document,30 Nov 2021,Supporting Documents,,RT-MME-155838-03 REV C,PRELIMINARY ECOLOGICAL APPRAISAL,
Select this document,30 Nov 2021,Correspondence,,,AGENT TO OFFICER - DRAINAGE,
Select this document,30 Nov 2021,Supporting Documents,,RT-MME-156690-01,REPTILE MITIGATION STRATEGY,
Select this document,30 Nov 2021,Supporting Documents,,RT-MME-156261-01 REV C,BIODIVERSITY NET GAIN ASSESSMENT,
Select this document,23 Nov 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,23 Nov 2021,Revised Drawing,,23896321,ELECTRICITY SUPPLY MAP SSE,
Select this document,12 Nov 2021,Consultee Comment,,,ARCHAEOLOGIST,
Select this document,08 Nov 2021,Public Comment,,,21 HIGHWORTH ROAD,
Select this document,28 Oct 2021,Public Comment,,,HAWKSWORTH THORNHILL ROAD SOUTH MARSTON,
Select this document,27 Oct 2021,Consultee Comment,,,LANDSCAPE,
Select this document,26 Oct 2021,Consultee Comment,,,SOUTH MARSTON PARISH,
Select this document,26 Oct 2021,Consultee Comment,,,DRAINAGE ENGINEER,
Select this document,25 Oct 2021,Public Comment,,,"PIGEON FARM. CHAPEL LANE, SOUTH MARSTON, SWINDON",
Select this document,25 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,25 Oct 2021,Correspondence,,,FURTHER INFO FROM AGENT,
Select this document,21 Oct 2021,Public Comment,,,"STUDIO, MY HOME, HIGHWORTH ROAD SOUTH MARSTON, SWINDON",
Select this document,21 Oct 2021,Public Comment,,,"STUDIO, MY HOME, HIGHWORTH ROAD SOUTH MARSTON, SWINDON",
Select this document,21 Oct 2021,Public Comment,,,"STUDIO, MY HOME, HIGHWORTH ROAD SOUTH MARSTON, SWINDON",
Select this document,21 Oct 2021,Public Comment,,,"STUDIO, MY HOME, HIGHWORTH ROAD SOUTH MARSTON, SWINDON",
Select this document,20 Oct 2021,Consultee Comment,,,ECOLOGY,
Select this document,18 Oct 2021,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,13 Oct 2021,Supporting Documents,,RT-MME-156261-02,CONSTRUCTION ECOLOGICAL MANAGEMENT PLAN,
Select this document,13 Oct 2021,Supporting Documents,,RT-MME-156261-03,LANDSCAPE AND ECOLOGY MANAGEMENT PLAN,
Select this document,13 Oct 2021,Supporting Documents,,RT-MME-156261-01 REV B,BIODIVERSITY NET GAIN ASSESSMENT REVISION,
Select this document,12 Oct 2021,Public Comment,,,"STUDIO, MY HOME, HIGHWORTH ROAD SOUTH MARSTON, SWINDON",
Select this document,27 Sep 2021,Drawing,,RG-L-01-03,LANDSCAPE MASTERPLAN SOFT LANDSCAPING PLAN,
Select this document,27 Sep 2021,Supporting Documents,,,DESIGN & ACCESS STATEMENT,
Select this document,27 Sep 2021,Drawing,,,EXISTING SITE PLAN SHEET 6 OF 7,
Select this document,27 Sep 2021,Supporting Documents,,,"TRANSPORT STATEMENT PARTS 1,2 & 3",
Select this document,27 Sep 2021,Drawing,,NEV/MP/OCTOBER 2016,THE MASTERPLAN CYCLE MAP,
Select this document,27 Sep 2021,Supporting Documents,,,ARBORICULTURAL IMPACT ASSESSMENT,
Select this document,27 Sep 2021,Drawing,,RG-L-02-01,LOCATION PLAN RED LINE BOUNDARY,
Select this document,27 Sep 2021,Supporting Documents,,,PLANNING STATEMENT,
Select this document,27 Sep 2021,Supporting Documents,,,ARCHAELOGICAL ASSESSMENT,
Select this document,27 Sep 2021,Supporting Documents,,,REPTILE SURVEY,
Select this document,27 Sep 2021,Supporting Documents,,,PRELIMINARY ECOLOGICAL APPRAISAL,
Select this document,27 Sep 2021,Supporting Documents,,,FLOOD RISK STATEMENT,
Select this document,27 Sep 2021,Supporting Documents,,,GEO-ENVIRONMENTAL ASSESSMENT,
Select this document,27 Sep 2021,Application Form,,,,
Select this document,27 Sep 2021,Drawing,,ITB17203-GA-002,PROPOSED SITE ACCESS ARRANGEMENTS AND CAR PARKING LAYOUT FROM HIGHWORTH ROAD,
Select this document,27 Sep 2021,Drawing,,C155838-01-01,TREE SURVEY PLAN,
Select this document,27 Sep 2021,Drawing,,,EXISTING SITE PLAN SHEET 5 OF 7,
Select this document,27 Sep 2021,Drawing,,,SWINDON CYCLE MAP,
Select this document,27 Sep 2021,Supporting Documents,,,BIODIVERSITY NET GAIN ASSESSMENT,
Select this document,27 Sep 2021,Drawing,,RG-L-01-01,LANDSCAPE MASTERPLAN GENERAL ARRANGEMENT,
Select this document,02 Dec 2021,Decision,,,,
Select this document,02 Dec 2021,Delegated Report,,,,
Select this document,29 Nov 2021,Revised Drawing,,1.0,FULL PLANS,
Select this document,26 Sep 2021,Application Form,,,,
Select this document,26 Sep 2021,Drawing,,1.0,FULL PLANS,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,02 Dec 2021,Revised Drawing,,09/21/03A,"SECTION, SITE LOCATION AND BLOCK PLANS",
Select this document,02 Dec 2021,Revised Drawing,,09/21/04A,BLOCK PLAN,
Select this document,02 Dec 2021,Revised Drawing,,09/21/01A,ELEVATIONS,
Select this document,02 Dec 2021,Revised Drawing,,09/21/02A,FLOOR PLANS,
Select this document,22 Oct 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,18 Oct 2021,Consultee Comment,,,CLLR WATTS RODBOURNE CHENEY WARD,
Select this document,12 Oct 2021,Drawing,,09/21/01,EXISTING AND PROPOSED ELEVATIONS,
Select this document,12 Oct 2021,Drawing,,09/21/02,EXISTING AND PROPOSED FLOOR PLANS,
Select this document,12 Oct 2021,Drawing,,09/21/03,SECTION & NOTES LOCATION & SITE PLANS,
Select this document,12 Oct 2021,Drawing,,09/21/04,BLOCK PLAN,
Select this document,17 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,25 Oct 2021,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,13 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,23 Sep 2021,Drawing,,,BLOCK PLAN,
Select this document,23 Sep 2021,Drawing,,,THE LOCATION PLAN,
Select this document,23 Sep 2021,Drawing,,,DROP KERB PLAN,
Select this document,23 Sep 2021,Application Form,,,,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,14 Dec 2021,Revised Drawing,,0990 04 REV A,PROPOSED FLOOR PLANS AND ELEVATIONS,
Select this document,14 Dec 2021,Revised Drawing,,0990 03 REV A,EXISTING & PROPOSED BLOCK PLANS,
Select this document,14 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,22 Oct 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,22 Sep 2021,Drawing,,0990_03,EXISTING & PROPOSED BLOCK PLANS,
Select this document,22 Sep 2021,Drawing,,0990_04,PROPOSED FLOOR PLANS & ELEVATIONS,
Select this document,22 Sep 2021,Application Form,,,,
Select this document,22 Sep 2021,CIL,,,APPLICATION FORM,
Select this document,22 Sep 2021,Drawing,,0990_02,SITE LOCATION PLAN,
Select this document,22 Sep 2021,Drawing,,0990_01,EXISTING & PROPOSED FLOOR PLAN & ELEVATION,
Select this document,20 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,22 Oct 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,22 Sep 2021,Drawing,,,THE LOCATION PLAN,
Select this document,22 Sep 2021,Drawing,,,BLOCK PLAN 1:500 A4,
Select this document,22 Sep 2021,Drawing,,2084.1 REV E,EXISTING PROPOSED,
Select this document,22 Sep 2021,Supporting Documents,,,DESIGN & ACCESS STATEMENT,
Select this document,22 Sep 2021,Application Form,,,,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,30 Nov 2021,Revised Drawing,,,REVISED LOCATION AND SITE PLAN,
Select this document,30 Nov 2021,Drawing,,,EXISTING PLANS,
Select this document,30 Nov 2021,Revised Drawing,,,REVISED PROPOSED PLANS,
Select this document,04 Nov 2021,Drawing,,3091/3,SITE LOCATION PLAN,
Select this document,11 Oct 2021,Drawing,,3091/1,EXISTING PLANS,
Select this document,21 Sep 2021,Drawing,,3091/1,EXISTING LAYOUT,
Select this document,21 Sep 2021,Drawing,,3091/2,PROPOSED PLANS,
Select this document,21 Sep 2021,Application Form,,,,
Select this document,24 Dec 2021,CIL,,,CIL-2021-0150-LN1-ROSS,
Select this document,24 Dec 2021,CIL,,,CIL-2021-0150-LN1-HVY,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,13 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,29 Nov 2021,Revised Drawing,,210 REV A,PROPOSED ELEVATIONS,
Select this document,29 Nov 2021,Revised Drawing,,100 REV A,PROPOSED FLOOR PLANS,
Select this document,29 Nov 2021,Revised Drawing,,200 REV A,PROPOSED ELEVATIONS,
Select this document,29 Nov 2021,Revised Drawing,,050 REV A,PROPOSED SITE PLAN,
Select this document,04 Nov 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH - POLLUTION,
Select this document,04 Nov 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH - POLLUTION,
Select this document,25 Oct 2021,Consultee Comment,,,SOUTH SWINDON PARISH COUNCIL,
Select this document,19 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,08 Oct 2021,Public Comment,,,32 VICTORIA ROAD,
Select this document,30 Sep 2021,Drawing,,773/001,SITE LOCATION PLAN,
Select this document,30 Sep 2021,Drawing,,773/210,PROPOSED ELEVATIONS,
Select this document,30 Sep 2021,Drawing,,773/021,EXISTING ELEVATIONS,
Select this document,30 Sep 2021,Drawing,,773/010,EXISTING FLOOR PLANS,
Select this document,30 Sep 2021,Drawing,,773/050,PROPOSED SITE PLAN,
Select this document,30 Sep 2021,Drawing,,773/020,EXISTING ELEVATIONS,
Select this document,30 Sep 2021,Drawing,,773/200,PROPOSED ELEVATIONS,
Select this document,30 Sep 2021,Drawing,,773/100,PROPOSED FLOOR PLANS,
Select this document,30 Sep 2021,Application Form,,,,
Select this document,30 Sep 2021,CIL,,,APPLICATION FORM,
Select this document,30 Sep 2021,Drawing,,773/005,EXISTING SITE PLAN,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,17 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,19 Oct 2021,Drawing,,,SIGNAGE DETAILS,
Select this document,21 Sep 2021,Drawing,,,THE LOCATION PLAN,
Select this document,21 Sep 2021,Application Form,,,,
Select this document,24 Dec 2021,CIL,,,S-18-1783 - CIL LIABLE DEVELOPMENT,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,17 Dec 2021,Revised Drawing,,V2,SITE PLAN,
Select this document,15 Dec 2021,Consultee Comment,,,CONSERVATION,
Select this document,14 Dec 2021,Correspondence,,,OFFICER TO APPLICANT,
Select this document,13 Dec 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,08 Dec 2021,Correspondence,,,RESPONSE TO CORRESPONDENCE FROM RESIDENTS,
Select this document,08 Dec 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,01 Dec 2021,Public Comment,,,"EDGEWORTH, BADBURY",
Select this document,23 Nov 2021,Correspondence,,,APPLICANT TO OFFICER,
Select this document,02 Nov 2021,Public Comment,,,"MOET, BADBURY LANE, BADBURY, SWINDON",
Select this document,02 Nov 2021,Consultee Comment,,,CHISELDON PARISH,
Select this document,01 Nov 2021,Public Comment,,,"ATHELSTAN, BADBURY LANE, BADBURY, SWINDON",
Select this document,28 Oct 2021,Correspondence,,,APPLICANT TO OFFICER,
Select this document,28 Oct 2021,Correspondence,,LETTER,OFFICER TO APPLICANT,
Select this document,28 Oct 2021,Correspondence,,,APPLICANT TO OFFICER - PARKING,
Select this document,21 Oct 2021,Photo,,,SITE NOTICE BEING DISPLAYED,
Select this document,21 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,11 Oct 2021,Correspondence,,,HERITAGE IMPACT ASSESSMENT FOR SANDSTORM FILMS AGRICULTURAL BUILDING DEVELOPMENT,
Select this document,11 Oct 2021,Drawing,,,V1 FLOOR PLAN GROUND,
Select this document,11 Oct 2021,Drawing,,,EXISTING SITE PLAN SCALE 1:500,
Select this document,11 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,11 Oct 2021,Drawing,,,V1 FLOORPLAN FIRST FLOOR,
Select this document,11 Oct 2021,Drawing,,,V1 ELEVATION PLANS SCALE 1-100,
Select this document,11 Oct 2021,Drawing,,,V1 ELEVATION PLANS,
Select this document,11 Oct 2021,Drawing,,,V1 FLOOR PLAN EXTERIOR,
Select this document,17 Sep 2021,Correspondence,,,THE LOCATION PLAN,
Select this document,17 Sep 2021,Application Form,,,,
Select this document,17 Sep 2021,Correspondence,,,ACCOMODATION AT SANDSTORM FILMS,
Select this document,02 Dec 2021,Delegated Report,,,,
Select this document,02 Dec 2021,Decision,,,,
Select this document,23 Nov 2021,Correspondence,,,EOT REQUEST FROM OFFICER,
Select this document,23 Nov 2021,Revised Drawing,,,BLOCK PLAN,
Select this document,11 Nov 2021,Public Comment,,,7 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,11 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,9 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,4 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,7 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,9 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,4 LEAMINGTON GROVE,
Select this document,11 Nov 2021,Public Comment,,,11 LEAMINGTON GROVE,
Select this document,29 Sep 2021,Application Form,,,,
Select this document,16 Sep 2021,Drawing,,,FULL PLANS,
Select this document,16 Sep 2021,Drawing,,,BLOCK PLAN,
Select this document,16 Sep 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,16 Sep 2021,CIL,,,APPLICATION FORM,
Select this document,16 Dec 2021,Consultee Comment,,,WROUGHTON PARISH,
Select this document,10 Dec 2021,Delegated Report,,,,
Select this document,10 Dec 2021,Decision,,,,
Select this document,18 Nov 2021,Revised Drawing,,REV A,EXSITING-PROPOSED,
Select this document,16 Sep 2021,CIL,,,APPLICATION FORM,
Select this document,16 Sep 2021,Application Form,,,,
Select this document,16 Sep 2021,Drawing,,21/1653/01,EXISTING & PROPOSED PLANS,
Select this document,16 Sep 2021,Drawing,,,LOCATION PLAN,
Select this document,16 Sep 2021,Drawing,,,BLOCK PLAN,
Select this document,17 Dec 2021,Decision,,,,
Select this document,17 Dec 2021,Delegated Report,,,,
Select this document,09 Nov 2021,Correspondence,,,OFFICER TO AGENT,
Select this document,08 Nov 2021,Drawing,,,SITE LOCATION PLAN SCALE 1:1250,
Select this document,08 Nov 2021,Drawing,,,SITE LOCATION PLAN SCALE 1:500,
Select this document,08 Nov 2021,Drawing,,003/4,ASSEMBLY PRT.2,
Select this document,08 Nov 2021,Drawing,,004/4,ASSEMBLY PRT.3,
Select this document,08 Nov 2021,Supporting Documents,,,SELF CERTIFICATION FORM FOR EMPLOYMENT,
Select this document,08 Nov 2021,Supporting Documents,,,TOWN AND PLANNING ACT 1990,
Select this document,08 Nov 2021,Drawing,,002/10,ASSEMBLY PRT.1,
Select this document,08 Nov 2021,Drawing,,004/10,ASSEMBLY PRT.3,
Select this document,08 Nov 2021,Drawing,,001/4,BASE PLATES TOP VIEW,
Select this document,08 Nov 2021,Drawing,,002/4,ASSEMBLY PRT.1,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,17 Nov 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,15 Sep 2021,Drawing,,,LOCATION PLAN,
Select this document,15 Sep 2021,Drawing,,2215/1,FULL PLANS,
Select this document,15 Sep 2021,Application Form,,,,
Select this document,14 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,14 Dec 2021,Decision,,,,
Select this document,14 Dec 2021,Delegated Report,,,,
Select this document,18 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,30 Sep 2021,Application Form,,,,
Select this document,28 Sep 2021,Drawing,,,SITE PLAN,
Select this document,28 Sep 2021,Drawing,,21-015-001,PROPOSED LAYOUT,
Select this document,28 Sep 2021,Drawing,,21-015-002,BLOCK PLAN,
Select this document,23 Dec 2021,CIL,,,CIL-2021-0149-LN1-SANNEH,
Select this document,23 Dec 2021,CIL,,,CIL-2021-0149-LN1-DLSI,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,02 Dec 2021,Revised Drawing,,400 REV A,PROPOSED CYCLE STORAGE,
Select this document,02 Dec 2021,Revised Drawing,,050 REV A,PROPOSED SITE PLAN,
Select this document,02 Dec 2021,Revised Drawing,,100 REV A,PROPOSED FLOOR PLANS,
Select this document,19 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,18 Oct 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH - RESIDENTIAL,
Select this document,08 Oct 2021,Consultee Comment,,,HIGHWAYS,
Select this document,29 Sep 2021,Drawing,,760/005,EXISTING SITE PLAN,
Select this document,29 Sep 2021,Drawing,,760/010,EXISTING FLOOR PLANS,
Select this document,29 Sep 2021,Drawing,,760/050,PROPOSED SITE PLAN,
Select this document,29 Sep 2021,Drawing,,760/100,PROPOSED FLOOR PLANS,
Select this document,29 Sep 2021,Drawing,,760/200,PROPOSED ELEVATIONS,
Select this document,29 Sep 2021,Application Form,,,APPLICATION FOR PLANNING PERMISSION,
Select this document,29 Sep 2021,Drawing,,760/001,SITE LOCATION PLAN,
Select this document,29 Sep 2021,CIL,,,CIL,
Select this document,29 Sep 2021,Drawing,,760/020,EXISTING ELEVATIONS,
Select this document,15 Dec 2021,Decision,,,,
Select this document,15 Dec 2021,Delegated Report,,,,
Select this document,16 Nov 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,14 Sep 2021,Application Form,,,,
Select this document,14 Sep 2021,Drawing,,,LOCATION PLAN,
Select this document,14 Sep 2021,Drawing,,,BLOCK PLAN,
Select this document,14 Sep 2021,Drawing,,21/1650/01 REV A,EXISTING & PROPOSED PLANS,
